_id,perfis,grauSatisfacao,observacao,tipoResposta,moduloPrincipal,versao
ObjectId(5f90ddd956efaa001be1e2d8),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO AD"",""RECEPÇÃO"",""ADM PALMAS"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90df5856efaa001be1e2d9),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR""]",,,FECHADO,/cidadao,4.1.00
ObjectId(5f90e24656efaa001be1e2da),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO""]",INSATISFEITO,,ENVIADO,/cidadao,4.1.00
ObjectId(5f90e27556efaa001be1e2db),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f90e54e56efaa001be1e2dc),"[""MEDICO UPA""]",MUITO_INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f90e5dc56efaa001be1e2dd),"[""RECEPÇÃO"",""COORDENADOR AD"",""COORDENADOR DA UBS""]",,,FECHADO,/profissional,4.1.00
ObjectId(5f90ecd756efaa001be1e2de),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""MEDICO UPA""]",INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f90fda556efaa001be1e2df),"[""MÉDICO"",""MEDICO UPA"",""MÉDICO AD""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9103e056efaa001be1e2e0),"[""OUTRO PROF. NÍVEL SUPERIOR""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f910dbc56efaa001be1e2e1),"[""RECEPÇÃO"",""COORDENADOR DA UBS""]",INDIFERENTE,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f91206a56efaa001be1e2e2),"[""RECEPÇÃO"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9121a156efaa001be1e2e3),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9125d956efaa001be1e2e4),"[""ESCUTA INICIAL"",""ASB - AUXILIAR DE SAÚDE BUCAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91274456efaa001be1e2e5),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9128f556efaa001be1e2e6),"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",,,NAO_RESPONDIDO,/cds/atendimento-odontologico,4.1.00
ObjectId(5f9130ae56efaa001be1e2e7),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO AD"",""RECEPÇÃO"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91320656efaa001be1e2e8),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO""]",MUITO_INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f914cdc56efaa001be1e2e9),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR""]",INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f9150de56efaa001be1e2ea),"[""ADM PALMAS"",""DIGITADOR"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO AD"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91543256efaa001be1e2eb),"[""RECEPÇÃO"",""ADM PALMAS"",""DIGITADOR""]",INSATISFEITO,,ENVIADO,/agenda,4.1.00
ObjectId(5f91545956efaa001be1e2ec),"[""RECEPÇÃO"",""DIGITADOR""]",MUITO_INSATISFEITO,"a praticidade  e essa nova versão isso esta sendo impossível muito lento para encontra o cidadão,  para carregar mais lento ainda ao meu ponto de vista péssima essa nova versão , tem atrapalhado muito o andamento  do fluxo do cidadão no Centro de Saúde Comunidade  no momento que estamos vivendo de  pandemia",ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f9155c156efaa001be1e2ed),"[""RECEPÇÃO"",""COORDENADOR RAVS/PALMAS"",""ADM PALMAS"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9155d656efaa001be1e2ee),"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",,,FECHADO,/cds/cadastro-individual,4.1.00
ObjectId(5f91560d56efaa001be1e2ef),"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f91561356efaa001be1e2f0),"[""RECEPÇÃO""]",MUITO_SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f91563656efaa001be1e2f1),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""DIGITADOR""]",,,FECHADO,/agenda,4.1.00
ObjectId(5f91564356efaa001be1e2f2),"[""RECEPÇÃO"",""DIGITADOR"",""CADASTRO CIDADÃO""]",,,FECHADO,/cidadao,4.1.00
ObjectId(5f91565f56efaa001be1e2f3),"[""RECEPÇÃO"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""SMS PIRAÍ - NÍVEL MÉDIO""]",,,NAO_RESPONDIDO,/agenda,4.1.00
ObjectId(5f91566a56efaa001be1e2f4),"[""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,,ENVIADO,/agenda,4.1.00
ObjectId(5f91567056efaa001be1e2f5),"[""RECEPÇÃO""]",,,FECHADO,/agenda,4.1.00
ObjectId(5f91567a56efaa001be1e2f6),"[""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""RECEPÇÃO"",""ADM PALMAS"",""DIGITADOR""]",MUITO_INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f91578056efaa001be1e2f7),"[""RECEPÇÃO"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91578056efaa001be1e2f8),"[""RECEPÇÃO"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91578c56efaa001be1e2f9),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f9157a056efaa001be1e2fa),"[""RECEPÇÃO""]",MUITO_SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f9157a656efaa001be1e2fb),"[""RECEPÇÃO""]",MUITO_INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f9157c556efaa001be1e2fc),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f9157f256efaa001be1e2fd),"[""RECEPÇÃO"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91580856efaa001be1e2fe),"[""ESCUTA INICIAL"",""MÉDICO""]",INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f91580f56efaa001be1e2ff),"[""RECEPÇÃO"",""COORDENADOR RAVS/PALMAS"",""DIGITADOR""]",MUITO_INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f91581756efaa001be1e300),"[""SMS PIRAI - GERÊNCIA"",""COORDENADOR DA UBS"",""ESCUTA INICIAL"",""ENFERMEIRO"",""DIGITADOR""]",SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f91584f56efaa001be1e301),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",INDIFERENTE,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f91588956efaa001be1e302),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91589b56efaa001be1e303),"[""RECEPÇÃO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9158ad56efaa001be1e304),"[""ESCUTA INICIAL"",""RECEPÇÃO"",""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO""]",INSATISFEITO,a lentidão  e dificuldade e na busca avançada.A demora porque o sistema não  aceita salvar sem todos os dados do paciente quem tem quer esta atualizado os e o saúde da familia. Urgencia e emergencia.,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f9158c056efaa001be1e305),"[""ESCUTA INICIAL"",""MÉDICO""]",SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f9158c256efaa001be1e306),"[""ESCUTA INICIAL"",""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9158dd56efaa001be1e307),"[""RECEPÇÃO""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f9158e156efaa001be1e308),"[""RECEPÇÃO""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f9158e456efaa001be1e309),"[""ESCUTA INICIAL"",""RECEPÇÃO"",""ACS - AGENTE COMUNITÁRIO DE SAÚDE""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9158e556efaa001be1e30a),"[""RECEPÇÃO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91592556efaa001be1e30b),"[""RECEPÇÃO"",""SMS PIRAÍ - NÍVEL MÉDIO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91593056efaa001be1e30c),"[""RECEPÇÃO"",""DIGITADOR""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f91593456efaa001be1e30d),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""FISIOTERAPEUTA NASF""]",SATISFEITO,,ENVIADO,/agenda,4.1.00
ObjectId(5f91594156efaa001be1e30e),"[""RECEPÇÃO"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91594256efaa001be1e30f),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91595456efaa001be1e310),"[""CIRURGIÃO DENTISTA""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91596356efaa001be1e311),"[""RECEPÇÃO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91596556efaa001be1e312),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91596556efaa001be1e313),"[""RECEPÇÃO"",""DIGITADOR""]",,,NAO_RESPONDIDO,/agenda,4.1.00
ObjectId(5f91596556efaa001be1e314),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f91597156efaa001be1e315),"[""RECEPÇÃO""]",,,FECHADO,/agenda,4.1.00
ObjectId(5f91598a56efaa001be1e316),"[""RECEPÇÃO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9159b656efaa001be1e317),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""DIGITADOR""]",INSATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f9159d356efaa001be1e318),"[""OUTRO PROF. NÍVEL MÉDIO/TÉCNICO"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9159d456efaa001be1e319),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9159e456efaa001be1e31a),"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9159ea56efaa001be1e31b),"[""CIRURGIÃO DENTISTA""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9159f756efaa001be1e31c),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f9159fe56efaa001be1e31d),"[""RECEPÇÃO"",""ADM PALMAS"",""DIGITADOR"",""CADASTRO CIDADÃO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915a0f56efaa001be1e31e),"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915a2b56efaa001be1e31f),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915a3a56efaa001be1e320),"[""ESCUTA INICIAL"",""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915a3b56efaa001be1e321),"[""RECEPÇÃO"",""ADM PALMAS"",""DIGITADOR""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f915a4356efaa001be1e322),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""DIGITADOR"",""COORDENADOR RAVS/PALMAS""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915a5856efaa001be1e323),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""ADM PALMAS""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915a5b56efaa001be1e324),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f915a5d56efaa001be1e325),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915a7456efaa001be1e326),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""FISIOTERAPEUTA NASF""]",INDIFERENTE,,ENVIADO,/agenda,4.1.00
ObjectId(5f915a8a56efaa001be1e327),"[""MÉDICO"",""ESCUTA INICIAL""]",INDIFERENTE,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915aa556efaa001be1e328),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915ac456efaa001be1e329),"[""RECEPÇÃO"",""ADM PALMAS"",""DIGITADOR""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f915ac956efaa001be1e32a),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915acf56efaa001be1e32b),"[""RECEPÇÃO"",""DIGITADOR""]",,,FECHADO,/agenda,4.1.00
ObjectId(5f915af856efaa001be1e32c),"[""RECEPÇÃO"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915b0556efaa001be1e32d),"[""RECEPÇÃO"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""SMS PIRAÍ - NÍVEL MÉDIO""]",INSATISFEITO,,ENVIADO,/agenda,4.1.00
ObjectId(5f915b2856efaa001be1e32e),"[""ESCUTA INICIAL"",""ASB - AUXILIAR DE SAÚDE BUCAL""]",,,FECHADO,/agenda,4.1.00
ObjectId(5f915b3a56efaa001be1e32f),"[""RECEPÇÃO"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915b4b56efaa001be1e330),"[""ACS - AGENTE COMUNITÁRIO DE SAÚDE"",""SMS PIRAÍ - NÍVEL MÉDIO""]",INSATISFEITO,,ENVIADO,/agenda,4.1.00
ObjectId(5f915b4e56efaa001be1e331),"[""RECEPÇÃO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915b5156efaa001be1e332),"[""RECEPÇÃO""]",,,NAO_RESPONDIDO,/agenda,4.1.00
ObjectId(5f915b5656efaa001be1e333),"[""MÉDICO"",""RECEPÇÃO"",""COORDENADOR DA UBS""]",INSATISFEITO,Toda hora ele para de funcionar e somem alguns históricos,ENVIADO,/agenda,4.1.00
ObjectId(5f915b5d56efaa001be1e334),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915b6a56efaa001be1e335),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR""]",INDIFERENTE,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915b6d56efaa001be1e336),"[""RECEPÇÃO""]",INSATISFEITO,"poderia ter repassado a todos os funcionários que utiliza o sistema, como utiliza- lo, pós essa versão está muito ruim pós ninguém tem conhecimento de como utilizar essa nova versão.",ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915b8656efaa001be1e337),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""COORDENADOR RAVS/PALMAS"",""ADM PALMAS""]",MUITO_SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915b8656efaa001be1e338),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f915b8e56efaa001be1e339),"[""CIRURGIÃO DENTISTA""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915ba956efaa001be1e33a),"[""ESCUTA INICIAL"",""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915bad56efaa001be1e33b),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",INDIFERENTE,,ENVIADO,/agenda,4.1.00
ObjectId(5f915bd756efaa001be1e33c),"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",,,NAO_RESPONDIDO,/cds/atendimento-odontologico,4.1.00
ObjectId(5f915bda56efaa001be1e33d),"[""RECEPÇÃO""]",,,FECHADO,/agenda,4.1.00
ObjectId(5f915bdb56efaa001be1e33e),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915bf056efaa001be1e33f),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915bf356efaa001be1e340),"[""COORDENADOR DA UBS""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915bf856efaa001be1e341),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""COORDENADOR RAVS/PALMAS"",""ADM PALMAS""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f915bf956efaa001be1e342),"[""RECEPÇÃO""]",INSATISFEITO,;,ENVIADO,/agenda,4.1.00
ObjectId(5f915bfd56efaa001be1e343),"[""ESCUTA INICIAL"",""OUTRO PROF. NÍVEL SUPERIOR"",""PSICÓLOGO NASF""]",SATISFEITO,,ENVIADO,/agenda,4.1.00
ObjectId(5f915c0156efaa001be1e344),"[""RECEPÇÃO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915c0c56efaa001be1e345),"[""ESCUTA INICIAL"",""ENFERMEIRO"",""RECEPÇÃO"",""COORDENADOR DA UBS""]",INDIFERENTE,,ENVIADO,/unidadeSaude,4.1.00
ObjectId(5f915c1556efaa001be1e346),"[""ESCUTA INICIAL"",""RECEPÇÃO"",""DIGITADOR""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f915c1a56efaa001be1e347),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915c2256efaa001be1e348),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915c3856efaa001be1e349),"[""ESCUTA INICIAL"",""MÉDICO""]",MUITO_INSATISFEITO,"trava muito e da muitos ""bugs"" o tempo todo com isso perco muitas vezes no dia o meu trabalho tendo que refazer tudo que estava fazendo antes de travar pois quando volta não ha nada salvo!",ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915c3956efaa001be1e34a),"[""ESCUTA INICIAL"",""RECEPÇÃO"",""ASB - AUXILIAR DE SAÚDE BUCAL""]",MUITO_INSATISFEITO,"sistema muito lento, não atualiza os cadastrado.
Penso que tinha que ser interligados com os demais de uso da saúde.",ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915c3b56efaa001be1e34b),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""RECEPÇÃO"",""SMS PIRAÍ - NÍVEL MÉDIO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915c3b56efaa001be1e34c),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""RECEPÇÃO"",""SMS PIRAÍ - NÍVEL MÉDIO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915c3e56efaa001be1e34d),"[""RECEPÇÃO"",""COORDENADOR DA UBS"",""ENFERMEIRO""]",,,FECHADO,/unidadeSaude,4.1.00
ObjectId(5f915c4756efaa001be1e34e),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,NAO_RESPONDIDO,/lista-atendimento,4.1.00
ObjectId(5f915c7d56efaa001be1e34f),"[""ESCUTA INICIAL"",""CIRURGIÃO DENTISTA""]",SATISFEITO,salvar as informações prestadas pelo paciente preenchidas pelo profissional.,ENVIADO,/cds/atendimento-odontologico,4.1.00
ObjectId(5f915c8456efaa001be1e350),"[""ESCUTA INICIAL"",""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915c8956efaa001be1e351),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915c8c56efaa001be1e352),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915c9556efaa001be1e353),"[""ESCUTA INICIAL"",""MÉDICO""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915c9856efaa001be1e354),"[""ESCUTA INICIAL"",""ENFERMEIRO""]",INDIFERENTE,"O sistema não travar ou ficar fora do ar 
A forma como buscava os profissionais anteriormente era melhor",ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915c9e56efaa001be1e355),"[""AGENDA"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",MUITO_INSATISFEITO,"e muito desorganizado a lista de chegada dos pacientes, aparecem misturados a ordem de chegada.",ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915ca256efaa001be1e356),"[""ESCUTA INICIAL"",""RECEPÇÃO"",""DIGITADOR""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915ca656efaa001be1e357),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915cc856efaa001be1e358),"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL""]",SATISFEITO,,ENVIADO,/lista-atendimento,4.1.00
ObjectId(5f915ccd56efaa001be1e359),"[""MÉDICO"",""ESCUTA INICIAL""]",,,FECHADO,/lista-atendimento,4.1.00
ObjectId(5f915cd056efaa001be1e35a),"[""COORDENADOR AD"",""COORDENADOR DA UBS"",""ESCUTA INICIAL"",""ADM PALMAS"",""RECEPÇÃO""]",,,FECHADO,/lista-atendimento,4.1.00
